Object ID,Compound,Pathways of compound,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity,Ontology - direct parents of entity
CPD-1086,5-amino-6-(5-phospho-D-ribitylamino)uracil,flavin biosynthesis I (bacteria and plants),Flavin Biosynthesis,Electron Carrier Biosynthesis // Enzyme Cofactor Biosynthesis,"Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis",Biosynthesis // Pathways,Pathways // All Pathways and Reactions
CPD-602,5-amino-6-(5-phospho-D-ribosylamino)uracil,flavin biosynthesis I (bacteria and plants),Flavin Biosynthesis,Electron Carrier Biosynthesis // Enzyme Cofactor Biosynthesis,"Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis",Biosynthesis // Pathways,Pathways // All Pathways and Reactions
CPD0-181,<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide,"inosine-5'-phosphate biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis II // superpathway of histidine, purine, and pyrimidine biosynthesis",Inosine-5'-phosphate Biosynthesis // Purine Nucleotide <i>De Novo</i> Biosynthesis // Superpathways,Purine Riboucleotide <i>De Novo</i> Biosynthesis // Purine Nucleotide Biosynthesis // Pathways,Purine Nucleotide <i>De Novo</i> Biosynthesis // Nucleoside and Nucleotide Biosynthesis // All Pathways and Reactions,Purine Nucleotide Biosynthesis // Biosynthesis // FRAMES,Nucleoside and Nucleotide Biosynthesis // Pathways // THINGS,Biosynthesis // All Pathways and Reactions // 
5-METHYL-THF,5-methyltetrahydropteroyl mono-L-glutamate,,,,,,,
AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE,"6-(hydroxymethyl)-7,8-dihydropterin",6-hydroxymethyl-dihydropterin diphosphate biosynthesis I // superpathway of tetrahydrofolate biosynthesis // superpathway of chorismate metabolism,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis // Folate Biosynthesis // Superpathways,Other Biosynthesis // Single Carbon Carrier Biosynthesis // Vitamin Biosynthesis // Pathways,"Biosynthesis // Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions","Pathways // Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis // FRAMES",All Pathways and Reactions // Biosynthesis // Pathways // THINGS,FRAMES // Pathways // All Pathways and Reactions // 
DIHYDROPTERIN-CH2OH-PP,"(7,8-dihydropterin-6-yl)methyl diphosphate",6-hydroxymethyl-dihydropterin diphosphate biosynthesis I // tetrahydrofolate biosynthesis I // superpathway of tetrahydrofolate biosynthesis // superpathway of chorismate metabolism,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis // Folate Biosynthesis // Superpathways,Other Biosynthesis // Single Carbon Carrier Biosynthesis // Vitamin Biosynthesis // Pathways,"Biosynthesis // Carrier Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions","Pathways // Cofactor, Carrier, and Vitamin Biosynthesis // Biosynthesis // FRAMES",All Pathways and Reactions // Biosynthesis // Pathways // THINGS,FRAMES // Pathways // All Pathways and Reactions // 
CPD-2961,D-gluconate 6-phosphate,D-gluconate degradation // L-idonate degradation // ketogluconate metabolism // pentose phosphate pathway (oxidative branch) I // pentose phosphate pathway // Entner-Doudoroff shunt // superpathway of glycolysis and the Entner-Doudoroff pathway,Aldonic Acid Degradation // Superpathways // Pentose Phosphate Pathways // Entner-Doudoroff Pathways // Generation of Precursor Metabolites and Energy,Carboxylic Acid Degradation // Pathways // Generation of Precursor Metabolites and Energy,Degradation/Utilization/Assimilation // All Pathways and Reactions // Pathways,Pathways // FRAMES // All Pathways and Reactions,All Pathways and Reactions // THINGS // FRAMES,FRAMES //  // THINGS
D-6-P-GLUCONO-DELTA-LACTONE,"6-phospho D-glucono-1,5-lactone",pentose phosphate pathway (oxidative branch) I // pentose phosphate pathway // superpathway of glycolysis and the Entner-Doudoroff pathway,Pentose Phosphate Pathways // Superpathways // Generation of Precursor Metabolites and Energy,Generation of Precursor Metabolites and Energy // Pathways,Pathways // All Pathways and Reactions,All Pathways and Reactions // FRAMES,FRAMES // THINGS,THINGS // 
8-AMINO-7-OXONONANOATE,(8<i>S</i>)-8-amino-7-oxononanoate,8-amino-7-oxononanoate biosynthesis I // biotin biosynthesis from 8-amino-7-oxononanoate I // biotin biosynthesis I,8-Amino-7-oxononanoate Biosynthesis // Biotin Biosynthesis // Superpathways,Other Biosynthesis // Enzyme Cofactor Biosynthesis // Pathways,"Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // All Pathways and Reactions",Pathways // Biosynthesis // FRAMES,All Pathways and Reactions // Pathways // THINGS,FRAMES // All Pathways and Reactions // 
ACP,a soluble [acyl-carrier protein],(Kdo)<sub>2</sub>-lipid A biosynthesis (<i>E. coli</i>) // CDP-diacylglycerol biosynthesis II // superpathway of phospholipid biosynthesis III (<i>E. coli</i>) // lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>) // superpathway of Kdo<sub>2</sub>-lipid A biosynthesis // superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis // 8-amino-7-oxononanoate biosynthesis I // biotin biosynthesis I // <i>cis</i>-vaccenate biosynthesis // fatty acid biosynthesis initiation III // fatty acid elongation -- saturated // palmitate biosynthesis II (type II fatty acid synthase) // palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) // lipoate biosynthesis and incorporation I // (5Z)-dodecenoate biosynthesis I // superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>) // fatty acid biosynthesis initiation (type II) // fatty acid biosynthesis initiation II // superpathway of fatty acid biosynthesis initiation // superpathway of fatty acid biosynthesis I (E. coli),Kdo-lipid A biosynthesis // CDP-diacylglycerol Biosynthesis // Phospholipid Biosynthesis // Superpathways // Lipid IV<sub>A</sub> Biosynthesis // Fatty Acid and Lipid Biosynthesis // Lipopolysaccharide Biosynthesis // 8-Amino-7-oxononanoate Biosynthesis // Biotin Biosynthesis // Unsaturated Fatty Acid Biosynthesis // Fatty Acid Biosynthesis Initiation // Fatty Acid Biosynthesis // Palmitate Biosynthesis // Palmitoleate Biosynthesis // Lipoate Biosynthesis and Salvage // (5Z)-dodecenoate Biosynthesis,Fatty Acid and Lipid Biosynthesis // Lipopolysaccharide Biosynthesis // Phospholipid Biosynthesis // Pathways // Biosynthesis // Cell Structure Biosynthesis // Glycan Pathways // Other Biosynthesis // Enzyme Cofactor Biosynthesis // Fatty Acid Biosynthesis // Unsaturated Fatty Acid Biosynthesis,"Biosynthesis // Cell Structure Biosynthesis // Glycan Pathways // Fatty Acid and Lipid Biosynthesis // All Pathways and Reactions // Pathways // Cofactor, Carrier, and Vitamin Biosynthesis // Fatty Acid Biosynthesis",Pathways // Biosynthesis // FRAMES // All Pathways and Reactions // Fatty Acid and Lipid Biosynthesis,All Pathways and Reactions // Pathways // THINGS // FRAMES // Biosynthesis,FRAMES // All Pathways and Reactions //  // THINGS // Pathways
ACETOACETYL-COA,acetoacetyl-CoA,acetoacetate degradation (to acetyl CoA) // oleate &beta;-oxidation,Degradation/Utilization/Assimilation - Other // Fatty Acid Degradation,Degradation/Utilization/Assimilation // Fatty Acid and Lipid Degradation,Pathways // Degradation/Utilization/Assimilation,All Pathways and Reactions // Pathways,FRAMES // All Pathways and Reactions,THINGS // FRAMES
ACET,acetate,"L-cysteine biosynthesis I // superpathway of sulfate assimilation and cysteine biosynthesis // L-ornithine biosynthesis I // L-arginine biosynthesis I (via L-ornithine) // superpathway of arginine and polyamine biosynthesis // acetoacetate degradation (to acetyl CoA) // lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>) // superpathway of Kdo<sub>2</sub>-lipid A biosynthesis // superpathway of (Kdo)<SUB>2</SUB>-lipid A biosynthesis // peptidoglycan recycling I // <i>N</i>-acetylglucosamine degradation I // superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation // citrate degradation // L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine) // poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine biosynthesis // chitobiose degradation // citrate lyase activation // pyruvate to cytochrome <i>bo</i> oxidase electron transfer // pyruvate to cytochrome <i>bd</i> oxidase electron transfer // ethanolamine utilization // acetate and ATP formation from acetyl-CoA I // mixed acid fermentation // pyruvate fermentation to acetate IV // acetate conversion to acetyl-CoA // superpathway of acetate utilization and formation","L-cysteine Biosynthesis // Sulfur Compound Metabolism // Superpathways // L-Ornithine Biosynthesis // L-arginine Biosynthesis // Amide, Amidine, Amine, and Polyamine Biosynthesis // Degradation/Utilization/Assimilation - Other // Lipid IV<sub>A</sub> Biosynthesis // Fatty Acid and Lipid Biosynthesis // Lipopolysaccharide Biosynthesis // Anhydromuropeptide Recycling // <i>N</i>-acetylglucosamine degradation // Amide, Amidine, Amine, and Polyamine Degradation // Carboxylic Acid Degradation // Polysaccharide Biosynthesis // Carbohydrate Degradation // Carrier Biosynthesis // Aerobic Respiration // Electron Transfer Chains // Fermentation to Acetate // Fermentation to Short-Chain Fatty Acids // Pyruvate Fermentation to Ethanol // Pyruvate Fermentation to Acetate","Proteinogenic Amino Acid Biosynthesis // Inorganic Nutrient Metabolism // Pathways // Other Amino Acid Biosynthesis // Biosynthesis // Degradation/Utilization/Assimilation // Fatty Acid and Lipid Biosynthesis // Lipopolysaccharide Biosynthesis // Cell Structure Biosynthesis // Glycan Pathways // Degradation/Utilization/Assimilation - Other // Amide, Amidine, Amine, and Polyamine Degradation // Sugar Derivative Degradation // Carbohydrate Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis // Respiration // Generation of Precursor Metabolites and Energy // Fermentation to Short-Chain Fatty Acids // Fermentation // Fermentation to Alcohols // Fermentation of Pyruvate // Fermentation to Acetate",Amino Acid Biosynthesis // Degradation/Utilization/Assimilation // All Pathways and Reactions // Pathways // Biosynthesis // Cell Structure Biosynthesis // Glycan Pathways // Sugar Degradation // Generation of Precursor Metabolites and Energy // Fermentation // Fermentation to Short-Chain Fatty Acids,Biosynthesis // Pathways // FRAMES // All Pathways and Reactions // Carbohydrate Degradation // Generation of Precursor Metabolites and Energy // Fermentation,Pathways // All Pathways and Reactions // THINGS // FRAMES // Degradation/Utilization/Assimilation // Generation of Precursor Metabolites and Energy,All Pathways and Reactions // FRAMES //  // THINGS // Pathways
ACETALD,acetaldehyde,"preQ<sub>0</sub> biosynthesis // pyruvate fermentation to ethanol I // mixed acid fermentation // ethanolamine utilization // 2-deoxy-&alpha;-D-ribose 1-phosphate degradation // superpathway of pyrimidine deoxyribonucleosides degradation // superpathway of purine deoxyribonucleosides degradation // 2-hydroxypenta-2,4-dienoate degradation // 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation // L-threonine degradation IV // superpathway of L-threonine metabolism // ethanol degradation I","Secondary Metabolite Biosynthesis // Pyruvate Fermentation to Ethanol // Fermentation to Short-Chain Fatty Acids // Superpathways // Amide, Amidine, Amine, and Polyamine Degradation // Sugar Derivative Degradation // Pyrimidine Nucleotide Degradation // Nucleoside and Nucleotide Degradation // Carboxylic Acid Degradation // Aromatic Compound Degradation // L-threonine Degradation // Ethanol Degradation",Biosynthesis // Fermentation to Alcohols // Fermentation of Pyruvate // Fermentation // Pathways // Degradation/Utilization/Assimilation // Sugar Degradation // Nucleoside and Nucleotide Degradation // Proteinogenic Amino Acid Degradation // Alcohol Degradation,Pathways // Fermentation // Generation of Precursor Metabolites and Energy // All Pathways and Reactions // Carbohydrate Degradation // Degradation/Utilization/Assimilation // Amino Acid Degradation,All Pathways and Reactions // Generation of Precursor Metabolites and Energy // Pathways // FRAMES // Degradation/Utilization/Assimilation,FRAMES // Pathways // All Pathways and Reactions // THINGS,THINGS // All Pathways and Reactions // FRAMES // 
ACETYL-COA,acetyl-CoA,"acetate conversion to acetyl-CoA // 2-deoxy-&alpha;-D-ribose 1-phosphate degradation // superpathway of pyrimidine deoxyribonucleosides degradation // superpathway of purine deoxyribonucleosides degradation // 2-hydroxypenta-2,4-dienoate degradation // 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation // L-threonine degradation IV // ethanol degradation I // colanic acid (<i>Escherichia coli</i> K12) biosynthesis // (aminomethyl)phosphonate degradation // L-threonine degradation II // superpathway of L-threonine metabolism // pyruvate decarboxylation to acetyl CoA I // biotin-carboxyl carrier protein assembly // autoinducer AI-2 degradation // fatty acid biosynthesis initiation (type II) // fatty acid &beta;-oxidation I (generic) // L-leucine biosynthesis // superpathway of branched chain amino acid biosynthesis // TCA cycle I (prokaryotic) // glycolate and glyoxylate degradation II // superpathway of glycol metabolism and degradation // glyoxylate cycle // superpathway of glyoxylate bypass and TCA // superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // phenylacetate degradation I (aerobic) // superpathway of phenylethylamine degradation // oleate &beta;-oxidation // pyruvate fermentation to ethanol I // peptidoglycan recycling I // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I // <i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>) // acetoacetate degradation (to acetyl CoA) // dTDP-<i>N</i>-acetylthomosamine biosynthesis // superpathway of enterobacterial common antigen biosynthesis // L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine) // L-cysteine biosynthesis I // superpathway of sulfate assimilation and cysteine biosynthesis // ethanolamine utilization // acetate and ATP formation from acetyl-CoA I // mixed acid fermentation // pyruvate fermentation to acetate IV // superpathway of acetate utilization and formation // L-ornithine biosynthesis I // L-arginine biosynthesis I (via L-ornithine) // superpathway of arginine and polyamine biosynthesis // fatty acid biosynthesis initiation II // superpathway of fatty acid biosynthesis initiation // superpathway of fatty acid biosynthesis I (E. coli)","Carboxylic Acid Degradation // Sugar Derivative Degradation // Pyrimidine Nucleotide Degradation // Superpathways // Nucleoside and Nucleotide Degradation // Aromatic Compound Degradation // L-threonine Degradation // Ethanol Degradation // Polysaccharide Biosynthesis // Phosphonate Compound Degradation // Acetyl-CoA Biosynthesis // Fatty Acid and Lipid Biosynthesis // Secondary Metabolite Degradation // Fatty Acid Biosynthesis Initiation // Fatty Acid Degradation // L-leucine Biosynthesis // Proteinogenic Amino Acid Biosynthesis // TCA cycle // Glycolate Degradation // Alcohol Degradation // Generation of Precursor Metabolites and Energy // Phenylacetate Degradation // Amide, Amidine, Amine, and Polyamine Degradation // Phenolic Compound Degradation // Pyruvate Fermentation to Ethanol // Anhydromuropeptide Recycling // UDP-<i>N</i>-acetyl-D-glucosamine Biosynthesis // Metabolic Clusters // Sugar Nucleotide Biosynthesis // Degradation/Utilization/Assimilation - Other // dTDP-sugar Biosynthesis // L-cysteine Biosynthesis // Sulfur Compound Metabolism // Fermentation to Acetate // Fermentation to Short-Chain Fatty Acids // Pyruvate Fermentation to Acetate // L-Ornithine Biosynthesis // L-arginine Biosynthesis // Amide, Amidine, Amine, and Polyamine Biosynthesis // Fatty Acid Biosynthesis",Degradation/Utilization/Assimilation // Sugar Degradation // Nucleoside and Nucleotide Degradation // Pathways // Proteinogenic Amino Acid Degradation // Alcohol Degradation // Carbohydrate Biosynthesis // Glycan Pathways // Phosphonate Metabolism // Generation of Precursor Metabolites and Energy // Biosynthesis // Fatty Acid Biosynthesis // Fatty Acid and Lipid Degradation // Proteinogenic Amino Acid Biosynthesis // Amino Acid Biosynthesis // Carboxylic Acid Degradation // Phenolic Compound Degradation // Aromatic Compound Degradation // Fermentation to Alcohols // Fermentation of Pyruvate // Degradation/Utilization/Assimilation - Other // UDP-sugar Biosynthesis // Sugar Biosynthesis // Sugar Nucleotide Biosynthesis // Inorganic Nutrient Metabolism // Fermentation to Short-Chain Fatty Acids // Fermentation // Fermentation to Acetate // Other Amino Acid Biosynthesis // Fatty Acid and Lipid Biosynthesis,Pathways // Carbohydrate Degradation // Degradation/Utilization/Assimilation // All Pathways and Reactions // Amino Acid Degradation // Biosynthesis // Phosphorus Compound Metabolism // Fatty Acid and Lipid Biosynthesis // Amino Acid Biosynthesis // Aromatic Compound Degradation // Fermentation // Sugar Nucleotide Biosynthesis // Carbohydrate Biosynthesis // Sugar Biosynthesis // Generation of Precursor Metabolites and Energy // Fermentation to Short-Chain Fatty Acids,All Pathways and Reactions // Degradation/Utilization/Assimilation // Pathways // FRAMES // Inorganic Nutrient Metabolism // Biosynthesis // Generation of Precursor Metabolites and Energy // Sugar Biosynthesis // Carbohydrate Biosynthesis // Fermentation,FRAMES // Pathways // All Pathways and Reactions // THINGS // Degradation/Utilization/Assimilation // Carbohydrate Biosynthesis // Biosynthesis // Generation of Precursor Metabolites and Energy,THINGS // All Pathways and Reactions // FRAMES //  // Pathways // Biosynthesis
